kingdom	supergroup	division	class	salp_water	n_reads	n_reads_water	n_reads_pct
Eukaryota	Alveolata	Alveolata_X	Other	SA_Salps	4	386819	0.0010340753685832392
Eukaryota	Alveolata	Apicomplexa	Other	ST_Non-Salps	5	165835	0.00301504507492387
Eukaryota	Alveolata	Ciliophora	Other	ST_Salps	4	359204	0.001113573345508402
Eukaryota	Alveolata	Ciliophora	Other	ST_Non-Salps	247	165835	0.14894322670123916
Eukaryota	Alveolata	Ciliophora	CONTH_7	Coastal SA_Salps	6408	276303	2.3191930597930535
Eukaryota	Alveolata	Ciliophora	CONTH_7	SA_Non-Salps	944	193445	0.48799400346351673
Eukaryota	Alveolata	Ciliophora	CONTH_7	SA_Salps	98	386819	0.025334846530289362
Eukaryota	Alveolata	Ciliophora	CONTH_7	ST_Non-Salps	98	165835	0.05909488346850785
Eukaryota	Alveolata	Ciliophora	Other	Coastal SA_Salps	19	276303	0.006876508760310239
Eukaryota	Alveolata	Ciliophora	Other	SA_Salps	18	386819	0.004653339158624576
Eukaryota	Alveolata	Ciliophora	Other	ST_Non-Salps	24	165835	0.014472216359634577
Eukaryota	Alveolata	Ciliophora	Other	ST_Salps	36	359204	0.010022160109575616
Eukaryota	Alveolata	Ciliophora	Other	Coastal SA_Salps	55	276303	0.01990568325352964
Eukaryota	Alveolata	Ciliophora	Other	SA_Non-Salps	24	193445	0.01240662720669958
Eukaryota	Alveolata	Ciliophora	Other	SA_Salps	56	386819	0.01447705516016535
Eukaryota	Alveolata	Ciliophora	Other	ST_Non-Salps	91	165835	0.05487382036361444
Eukaryota	Alveolata	Ciliophora	Other	ST_Salps	28	359204	0.007795013418558813
Eukaryota	Alveolata	Ciliophora	Other	Coastal SA_Salps	158	276303	0.05718359916468515
Eukaryota	Alveolata	Ciliophora	Other	SA_Salps	406	386819	0.10495864991119877
Eukaryota	Alveolata	Ciliophora	Other	Coastal SA_Salps	159	276303	0.057545520678385684
Eukaryota	Alveolata	Ciliophora	Other	SA_Non-Salps	12	193445	0.00620331360334979
Eukaryota	Alveolata	Ciliophora	Other	SA_Salps	103	386819	0.02662744074101841
Eukaryota	Alveolata	Ciliophora	Other	ST_Non-Salps	33	165835	0.019899297494497543
Eukaryota	Alveolata	Ciliophora	Other	ST_Salps	574	359204	0.15979777508045567
Eukaryota	Alveolata	Ciliophora	Other	Coastal SA_Salps	213	276303	0.07708928241821479
Eukaryota	Alveolata	Ciliophora	Other	SA_Non-Salps	77	193445	0.03980459562149448
Eukaryota	Alveolata	Ciliophora	Other	SA_Salps	178	386819	0.046016353901954146
Eukaryota	Alveolata	Ciliophora	Other	ST_Non-Salps	256	165835	0.15437030783610214
Eukaryota	Alveolata	Ciliophora	Other	ST_Salps	50	359204	0.013919666818855024
Eukaryota	Alveolata	Ciliophora	Other	Coastal SA_Salps	557	276303	0.2015902831312002
Eukaryota	Alveolata	Ciliophora	Other	SA_Non-Salps	531	193445	0.2744966269482282
Eukaryota	Alveolata	Ciliophora	Other	SA_Salps	348	386819	0.08996455706674181
Eukaryota	Alveolata	Ciliophora	Other	ST_Non-Salps	920	165835	0.5547682937859921
Eukaryota	Alveolata	Ciliophora	Other	ST_Salps	422	359204	0.1174819879511364
Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Coastal SA_Salps	8644	276303	3.128449564427458
Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	SA_Non-Salps	8174	193445	4.2254904494817644
Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	SA_Salps	8985	386819	2.322791796680101
Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	ST_Non-Salps	10536	165835	6.353302981879579
Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	ST_Salps	8230	359204	2.291177158383537
